dates-of-public-availability/printed-as-amended/document-id	pat:PublicAvailabilityDataBag/pat:PrintedAsAmendedDocument/pat:PatentDocumentIdentification/pat:PatentPublicationIdentification
dates-of-public-availability/printed-as-amended/text	pat:PublicAvailabilityDataBag/pat:PrintedAsAmendedDocument/com:CommentText
term-of-grant	pat:GrantTerm
term-of-grant/disclaimer	pat:GrantTerm/pat:TerminalDisclaimer
term-of-grant/disclaimer/date	pat:GrantTerm/pat:TerminalDisclaimer/pat:DisclaimerDate
term-of-grant/disclaimer/text	pat:GrantTerm/pat:TerminalDisclaimer/pat:DisclaimerText
term-of-grant/length-of-grant	pat:GrantTerm/pat:GrantLengthQuantity
term-of-grant/lapse-of-patent	pat:GrantTerm/pat:PatentTermLapseQuantity
dates-rights-effective	pat:RightsEffectiveDateBag
dates-rights-effective/request-for-examination/date	pat:RightsEffectiveDateBag/com:ExaminationRequestDate
dates-rights-effective/first-examination-report-despatched/date	pat:RightsEffectiveDateBag/pat:FirstDespatchedExaminationReportDate
dates-rights-effective/patent-maintained-as-amended/date	pat:RightsEffectiveDateBag/pat:PatentMaintainedAsAmendedDate
dates-rights-effective/request-for-conversion-to-national-application	pat:RightsEffectiveDateBag/pat:NationalApplicationConversionRequest
dates-rights-effective/request-for-conversion-to-national-application/date	pat:RightsEffectiveDateBag/pat:NationalApplicationConversionRequest/pat:NationalApplicationConversionRequestDate
dates-rights-effective/request-for-conversion-to-national-application/country	pat:RightsEffectiveDateBag/pat:NationalApplicationConversionRequest/com:IPOfficeCode
dates-rights-effective/proceedings-suspended/date	pat:RightsEffectiveDateBag/pat:ProceedingsSuspensionDate
dates-rights-effective/proceedings-interrupted/date	pat:RightsEffectiveDateBag/pat:ProceedingsInterruptionDate
dates-rights-effective/proceedings-resumed/date	pat:RightsEffectiveDateBag/pat:ProceedingsResumptionDate
dates-rights-effective/notification-of-rights-after-appeal/date	pat:RightsEffectiveDateBag/pat:AfterAppealRightsNotificationDate
dates-rights-effective/date-entering-into-force/date	pat:RightsEffectiveDateBag/pat:EnteredIntoForceDate
patent-family	pat:PatentFamily
patent-family/@id	pat:PatentFamily/@com:id
patent-family/priority-application	pat:PatentFamily/pat:PriorityApplication
patent-family/priority-application/document-id	pat:PatentFamily/pat:PriorityApplication/pat:PatentPublicationIdentification
patent-family/family-member	pat:PatentFamily/pat:PatentFamilyMember
patent-family/family-member/document-id	pat:PatentFamily/pat:PatentFamilyMember/pat:PatentPublicationIdentification
patent-family/text	pat:PatentFamily/pat:PatentFamilyText
document-id	pat:PatentPublicationIdentification
document-id/country	pat:PatentGrantIdentification/com:IPOfficeCode
document-id/doc-number	pat:PatentGrantIdentification/pat:PatentNumber
document-id/kind	pat:PatentGrantIdentification/com:PatentDocumentKindCode
document-id/date	pat:PatentGrantIdentification/pat:GrantDate
field-of-search	pat:SearchField
field-of-search/classification-ipc	pat:SearchField/pat:PatentClassificationBag/pat:IPCClassification
field-of-search/classifications-ipcr	pat:SearchField/pat:PatentClassificationBag/pat:IPCRClassificationBag/pat:IPCRClassification
field-of-search/classifications-ipcr/@id	pat:SearchField/pat:PatentClassificationBag/pat:IPCRClassificationBag/pat:IPCRClassification
field-of-search/classification-national	pat:SearchField/pat:PatentClassificationBag/pat:NationalClassification
figures	pat:FigureBag
figures/number-of-drawing-sheets/text()	pat:FigureBag/pat:DrawingSheetTotalQuantity
figures/number-of-figures/text()	pat:FigureBag/pat:FigureTotalQuantity
figures/figure-to-publish	pat:FigureBag/pat:PublishFigure
figures/figure-to-publish/fig-number/text()	pat:FigureBag/pat:PublishFigure/pat:FigureNumber
references-cited	pat:ReferenceCitationBag
references-cited/citation	pat:ReferenceCitationBag/pat:ReferenceCitation
references-cited/citation/@id	pat:ReferenceCitationBag/pat:ReferenceCitation/@com:id
references-cited/citation/patcit	pat:ReferenceCitationBag/pat:ReferenceCitation/com:PatentCitation
references-cited/citation/patcit/@id	pat:ReferenceCitationBag/pat:ReferenceCitation/com:PatentCitation/@com:id
references-cited/citation/patcit/@num	pat:ReferenceCitationBag/pat:ReferenceCitation/com:PatentCitation/@com:sequenceNumber
references-cited/citation/patcit/text	pat:ReferenceCitationBag/pat:ReferenceCitation/com:PatentCitation/com:PatentCitationText
references-cited/citation/patcit/document-id	pat:ReferenceCitationBag/pat:ReferenceCitation/com:PatentCitation/com:CitedPatentDocumentIdentification
references-cited/citation/patcit/document-id/@lang	pat:ReferenceCitationBag/pat:ReferenceCitation/com:PatentCitation/com:CitedPatentDocumentIdentification/@com:languageCode
references-cited/citation/patcit/document-id/country	pat:ReferenceCitationBag/pat:ReferenceCitation/com:PatentCitation/com:CitedPatentDocumentIdentification/com:IPOfficeCode
references-cited/citation/patcit/document-id/doc-number	pat:ReferenceCitationBag/pat:ReferenceCitation/com:PatentCitation/com:CitedPatentDocumentIdentification/com:DocumentNumber
references-cited/citation/patcit/document-id/kind	pat:ReferenceCitationBag/pat:ReferenceCitation/com:PatentCitation/com:CitedPatentDocumentIdentification/com:PatentDocumentKindCode
references-cited/citation/patcit/document-id/name	pat:ReferenceCitationBag/pat:ReferenceCitation/com:PatentCitation/com:CitedPatentDocumentIdentification/com:EntityName
references-cited/citation/patcit/document-id/date	pat:ReferenceCitationBag/pat:ReferenceCitation/com:PatentCitation/com:CitedPatentDocumentIdentification/com:PatentDocumentDate
references-cited/citation/nplcit	pat:ReferenceCitationBag/pat:ReferenceCitation/com:NPLCitation
references-cited/citation/nplcit/@id	pat:ReferenceCitationBag/pat:ReferenceCitation/com:NPLCitation/@com:id
references-cited/citation/nplcit/@num	pat:ReferenceCitationBag/pat:ReferenceCitation/com:NPLCitation/@com:sequenceNumber
references-cited/citation/nplcit/@lang	pat:ReferenceCitationBag/pat:ReferenceCitation/com:NPLCitation/@com:languageCode
references-cited/citation/nplcit/article	pat:ReferenceCitationBag/pat:ReferenceCitation/com:NPLCitation/com:CitedJournalArticle
references-cited/citation/nplcit/book	pat:ReferenceCitationBag/pat:ReferenceCitation/com:NPLCitation/com:CitedBook
references-cited/citation/nplcit/book/notes	pat:ReferenceCitationBag/pat:ReferenceCitation/com:NPLCitation/com:CitedBook/com:Notes
references-cited/citation/nplcit/othercit	pat:ReferenceCitationBag/pat:ReferenceCitation/com:NPLCitation/com:NPLCitationText
references-cited/citation/rel-passage	pat:ReferenceCitationBag/pat:ReferenceCitation/pat:CitedPassageBag
references-cited/citation/rel-passage/text	pat:ReferenceCitationBag/pat:ReferenceCitation/pat:CitedPassageBag/pat:CitedPassage/pat:PassageRangeBag/pat:PassageRangeText
references-cited/citation/rel-passage/passage	pat:ReferenceCitationBag/pat:ReferenceCitation/pat:CitedPassageBag/pat:CitedPassage/pat:PassageRangeBag/pat:PassageRange/pat:PassageRangeStart
references-cited/citation/rel-passage/passage/text()	pat:ReferenceCitationBag/pat:ReferenceCitation/pat:CitedPassageBag/pat:CitedPassage/pat:PassageRangeBag/pat:PassageRange/pat:PassageRangeEnd
references-cited/citation/rel-passage/category	pat:ReferenceCitationBag/pat:ReferenceCitation/pat:CitedPassageBag/pat:CitedPassage/pat:PassageRelevanceBag/pat:PassageRelevance/pat:CitationCategoryCode
references-cited/citation/rel-passage/rel-claims	pat:ReferenceCitationBag/pat:ReferenceCitation/pat:CitedPassageBag/pat:CitedPassage/pat:PassageRelevanceBag/pat:PassageRelevance/pat:RelatedClaimBag
references-cited/citation/rel-passage/rel-claims/text()	pat:ReferenceCitationBag/pat:ReferenceCitation/pat:CitedPassageBag/pat:CitedPassage/pat:PassageRelevanceBag/pat:PassageRelevance/pat:RelatedClaimBag/{http://www.wipo.int/standards/XMLSchema/ST96/Patent}PatentClaimRange/{http://www.wipo.int/standards/XMLSchema/ST96/Patent}PatentClaimEndNumber
references-cited/citation/category/text()	pat:ReferenceCitationBag/pat:ReferenceCitation/@pat:citingPartyCategory
references-cited/citation/classification-national	pat:ReferenceCitationBag/pat:ReferenceCitation/pat:PatentClassificationBag/pat:NationalClassification
references-cited/citation/classification-national/@id	pat:ReferenceCitationBag/pat:ReferenceCitation/pat:PatentClassificationBag/pat:NationalClassification/@com:id
references-cited/citation/classification-national/country	pat:ReferenceCitationBag/pat:ReferenceCitation/pat:PatentClassificationBag/pat:NationalClassification/com:IPOfficeCode
references-cited/citation/classification-national/edition	pat:ReferenceCitationBag/pat:ReferenceCitation/pat:PatentClassificationBag/pat:NationalClassification/com:Edition
references-cited/citation/classification-national/main-classification	pat:ReferenceCitationBag/pat:ReferenceCitation/pat:PatentClassificationBag/pat:NationalClassification/pat:MainNationalClassification
references-cited/citation/classification-national/main-classification/text()	pat:ReferenceCitationBag/pat:ReferenceCitation/pat:PatentClassificationBag/pat:NationalClassification/pat:MainNationalClassification/pat:PatentClassificationText
references-cited/citation/classification-national/further-classification	pat:ReferenceCitationBag/pat:ReferenceCitation/pat:PatentClassificationBag/pat:NationalClassification/pat:FurtherNationalClassification
references-cited/citation/classification-national/further-classification/@id	pat:ReferenceCitationBag/pat:ReferenceCitation/pat:PatentClassificationBag/pat:NationalClassification/pat:FurtherNationalClassification/@com:id
references-cited/citation/classification-national/further-classification/text()	pat:ReferenceCitationBag/pat:ReferenceCitation/pat:PatentClassificationBag/pat:NationalClassification/pat:FurtherNationalClassification/pat:PatentClassificationText
st50-republication	pat:PatentDocumentRepublication
st50-republication/republication-code	pat:PatentDocumentRepublication/pat:RepublicationCategory
st50-republication/cancellation-date	pat:PatentDocumentRepublication/pat:RepublicationCancellationDate
st50-republication/modifications/modified-bibliography	pat:PatentDocumentRepublication/pat:ModificationPartIdentification/pat:ModifiedBibliography
st50-republication/modifications/modified-bibliography/inid-code	pat:PatentDocumentRepublication/pat:ModificationPartIdentification/pat:ModifiedBibliography/pat:PatentINIDCode
st50-republication/modifications/modified-bibliography/inid-code/@sequence	pat:PatentDocumentRepublication/pat:ModificationPartIdentification/pat:ModifiedBibliography/@com:sequenceNumber
st50-republication/modifications/modified-part	pat:PatentDocumentRepublication/pat:ModificationPartIdentification/pat:ModifiedPartInformation
st50-republication/modifications/modified-part/@sequence	pat:PatentDocumentRepublication/pat:ModificationPartIdentification/pat:ModifiedPartInformation/@com:sequenceNumber
st50-republication/modifications/modified-part/@lang	pat:PatentDocumentRepublication/pat:ModificationPartIdentification/pat:ModifiedPartInformation/@com:languageCode
