application-body/@lang	pat:ApplicationBody/@com:languageCode
application-body/description/description-of-embodiments/embodiments-example/p	pat:ApplicationBody/pat:Description/pat:EmbodimentDescription/pat:EmbodimentExample/com:P
application-body/description/description-of-embodiments/heading	pat:ApplicationBody/pat:Description/pat:EmbodimentDescription/com:Heading
application-body/description/description-of-embodiments/p	pat:ApplicationBody/pat:Description/pat:EmbodimentDescription/com:P
application-body/description/best-mode	pat:ApplicationBody/pat:Description/pat:BestMode
application-body/description/best-mode/@id	pat:ApplicationBody/pat:Description/pat:BestMode/@com:id
application-body/description/best-mode/heading	pat:ApplicationBody/pat:Description/pat:BestMode/com:Heading
application-body/description/best-mode/p	pat:ApplicationBody/pat:Description/pat:BestMode/com:P
application-body/description/mode-for-invention	pat:ApplicationBody/pat:Description/pat:InventionMode
application-body/description/mode-for-invention/@id	pat:ApplicationBody/pat:Description/pat:InventionMode/@com:id
application-body/description/mode-for-invention/heading	pat:ApplicationBody/pat:Description/pat:InventionMode/com:Heading
application-body/description/mode-for-invention/p	pat:ApplicationBody/pat:Description/pat:InventionMode/com:P
application-body/description/industrial-applicability	pat:ApplicationBody/pat:Description/pat:IndustrialApplicability
application-body/description/industrial-applicability/@id	pat:ApplicationBody/pat:Description/pat:IndustrialApplicability/@com:id
application-body/description/industrial-applicability/heading	pat:ApplicationBody/pat:Description/pat:IndustrialApplicability/com:Heading
application-body/description/industrial-applicability/p	pat:ApplicationBody/pat:Description/pat:IndustrialApplicability/com:P
application-body/description/reference-signs-list	pat:ApplicationBody/pat:Description/pat:ReferenceSignBag
application-body/description/reference-signs-list/@id	pat:ApplicationBody/pat:Description/pat:ReferenceSignBag/@com:id
application-body/description/reference-signs-list/heading	pat:ApplicationBody/pat:Description/pat:ReferenceSignBag/com:Heading
application-body/description/reference-signs-list/p	pat:ApplicationBody/pat:Description/pat:ReferenceSignBag/com:P
application-body/description/reference-to-deposited-biological-material	pat:ApplicationBody/pat:Description/pat:DepositedBiologicalMaterialReference
application-body/description/reference-to-deposited-biological-material/@id	pat:ApplicationBody/pat:Description/pat:DepositedBiologicalMaterialReference/@com:id
application-body/description/reference-to-deposited-biological-material/heading	pat:ApplicationBody/pat:Description/pat:DepositedBiologicalMaterialReference/com:Heading
application-body/description/reference-to-deposited-biological-material/p	pat:ApplicationBody/pat:Description/pat:DepositedBiologicalMaterialReference/com:P
application-body/description/sequence-list-text	pat:ApplicationBody/pat:Description/pat:SequenceListText
