application-body/@lang	pat:ApplicationBody/@com:languageCode
sup2/u	com:Sup2/com:U
sup2/i	com:Sup2/com:I
sup2/o	com:Sup2/com:O
sup	com:Sup
sup/text()	com:Sup/text()
sup/b	com:Sup/com:B
sup/u	com:Sup/com:U
sup/i	com:Sup/com:I
sup/o	com:Sup/com:O
sup/sup2	com:Sup/com:Sup2
sup/sub2	com:Sup/com:Sub2
u	com:U
u/text()	com:U/text()
u/b	com:U/com:B
u/i	com:U/com:I
u/smallcaps	com:U/com:SmallCapital
u/sup	com:U/com:Sup
u/sub	com:U/com:Sub
pre	com:Pre
pre/@id	com:Pre/@com:id
pre/@listing-type	com:Pre/@com:listingCategory
dl	com:DL
dl/@id	com:DL/@com:id
dl/dt	com:DL/com:DT
dl/dd	com:DL/com:DD
dd	com:DD
dd/text()	com:DD/text()
dd/b	com:DD/com:B
dd/i	com:DD/com:I
dd/u	com:DD/com:U
dd/o	com:DD/com:O
dd/sup	com:DD/com:Sup
dd/sub	com:DD/com:Sub
dd/smallcaps	com:DD/com:SmallCapital
dd/br	com:DD/com:Br
dd/pre	com:DD/com:Pre
dd/patcit	com:DD/com:PatentCitation
dd/nplcit	com:DD/com:NPLCitation
dd/crossref	com:DD/com:CrossReference
patcit	com:PatentCitation
patcit/@id	com:PatentCitation/@com:id
patcit/@num	com:PatentCitation/@com:sequenceNumber
patcit/text	com:PatentCitation/com:PatentCitationText
patcit/document-id	com:PatentCitation/com:CitedPatentDocumentIdentification
patcit/document-id/country	com:PatentCitation/com:CitedPatentDocumentIdentification/com:IPOfficeCode
patcit/document-id/doc-number	com:PatentCitation/com:CitedPatentDocumentIdentification/com:DocumentNumber
patcit/document-id/kind	com:PatentCitation/com:CitedPatentDocumentIdentification/com:PatentDocumentKindCode
patcit/document-id/date	com:PatentCitation/com:CitedPatentDocumentIdentification/com:PatentDocumentDate
nplcit	com:NPLCitation
nplcit/@id	com:NPLCitation/@com:id
nplcit/@num	com:NPLCitation/@com:sequenceNumber
nplcit/@lang	com:NPLCitation/@com:languageCode
nplcit/@file	com:NPLCitation/com:FileName
nplcit/@url	com:NPLCitation/com:WebURI
nplcit/text	com:NPLCitation/com:NPLCitationText
nplcit/article	com:NPLCitation/com:CitedJournalArticle
nplcit/article/author	com:NPLCitation/com:CitedJournalArticle/com:AuthorName
nplcit/article/atl	com:NPLCitation/com:CitedJournalArticle/com:SerialALTTitleText
nplcit/article/subname	com:NPLCitation/com:CitedJournalArticle/com:Subordinate
nplcit/article/subname/@subname-type	com:NPLCitation/com:CitedJournalArticle/com:Subordinate/@com:subordinateCategory
nplcit/article/subname/name	com:NPLCitation/com:CitedJournalArticle/com:Subordinate/com:Name
nplcit/article/class	com:NPLCitation/com:CitedJournalArticle/com:NPLClass
nplcit/article/class/@class-type	com:NPLCitation/com:CitedJournalArticle/com:NPLClass/@com:classificationSystem
nplcit/article/cpyrt	com:NPLCitation/com:CitedJournalArticle/com:NPLCopyrightText
nplcit/book	com:NPLCitation/com:CitedBook
nplcit/othercit	com:NPLCitation/com:CitedOtherKindNPL
bio-deposit	com:BioDeposit
bio-deposit/@id	com:BioDeposit/@com:id
bio-deposit/@num	com:BioDeposit/@com:sequenceNumber
bio-deposit/@url	com:BioDeposit/@com:sourceURI
bio-deposit/depositary	com:BioDeposit/com:BioDepositDepositary
bio-deposit/bio-accno	com:BioDeposit/com:BiologicalAccessionNumber
bio-deposit/date	com:BioDeposit/com:BioDepositDate
bio-deposit/term	com:BioDeposit/com:BioDepositTermText
bio-deposit/dtext	com:BioDeposit/com:BioDepositText
crossref	com:CrossReference
crossref/@idref	com:CrossReference/@com:idrefs
crossref/text()	com:CrossReference/text()
crossref/b	com:CrossReference/com:B
crossref/i	com:CrossReference/com:I
crossref/u	com:CrossReference/com:U
crossref/o	com:CrossReference/com:O
crossref/sup	com:CrossReference/com:Sup
crossref/sub	com:CrossReference/com:Sub
crossref/smallcaps	com:CrossReference/com:SmallCapital
ul	com:UL
ul/@id	com:UL/@com:id
ul/@list-style	com:UL/@com:ulStyle
ul/li	com:UL/com:LI
ol	com:OL
ol/@id	com:OL/@com:id
ol/@ol-style	com:OL/@com:olStyle
ol/li	com:OL/com:LI
doc-page	pat:DocumentURI
doc-page/@id	pat:DocumentURI/@com:id
doc-page/@he	pat:PageImage/com:HeightMeasure
doc-page/@wi	pat:PageImage/com:WidthMeasure
doc-page/@type	pat:DocumentURI/@pat:pageDocumentFormatCategory
doc-page/@alt	pat:PageImage/com:Alt
doc-page/@ppf	pat:DocumentURI/@pat:firstPageNumber
doc-page/@ppl	pat:DocumentURI/@pat:lastPageNumber
doc-page/@file	pat:DocumentURI/@com:documentFileName
doc-page/@ocr	pat:DocumentURI/@pat:ocrIndicator
doc-page/@color	pat:PageImage/com:ColourModeCategory
doc-page/@orientation	pat:PageImage/@com:orientationCategory
invention-title	pat:InventionTitle
invention-title/@id	pat:InventionTitle/@com:id
invention-title/@lang	pat:InventionTitle/@com:languageCode
invention-title/text()	pat:InventionTitle/text()
invention-title/b	pat:InventionTitle/com:B
invention-title/i	pat:InventionTitle/com:I
invention-title/u	pat:InventionTitle/com:U
invention-title/o	pat:InventionTitle/com:O
invention-title/sup	pat:InventionTitle/com:Sup
invention-title/sub	pat:InventionTitle/com:Sub
claims	pat:Claims
claims/@id	pat:Claims/@com:id
claims/@lang	pat:Claims/@com:languageCode
claims/doc-page	pat:Claims/pat:DocumentURI
claims/claim	pat:Claims/pat:Claim
claims/claim/@id	pat:Claims/pat:Claim/@com:id
claims/claim/@num	pat:Claims/pat:Claim/pat:ClaimNumber
claims/claim/claim-text	pat:Claims/pat:Claim/pat:ClaimText
claim-text	pat:ClaimText
claim-text/text()	pat:ClaimText/text()
claim-text/claim-text	pat:ClaimText/pat:ClaimText
claim-text/claim-ref	pat:ClaimText/pat:ClaimReference
claim-text/claim-ref/@idref	pat:ClaimText/pat:ClaimReference/@com:idrefs
claim-text/claim-ref/text()	pat:ClaimText/pat:ClaimReference/text()
claim-text/b	pat:ClaimText/com:B
claim-text/i	pat:ClaimText/com:I
claim-text/u	pat:ClaimText/com:U
claim-text/o	pat:ClaimText/com:O
claim-text/sup	pat:ClaimText/com:Sup
claim-text/sub	pat:ClaimText/com:Sub
claim-text/smallcaps	pat:ClaimText/com:SmallCapital
claim-text/br	pat:ClaimText/com:Br
claim-text/pre	pat:ClaimText/com:Pre
claim-text/crossref	pat:ClaimText/com:CrossReference
claim-text/figref	pat:ClaimText/com:FigureReference
claim-text/img	pat:ClaimText/com:Image
claim-text/chemistry	pat:ClaimText/com:ChemicalFormulae
claim-text/maths	pat:ClaimText/com:Math
claim-text/tables	pat:ClaimText/com:Table
figref	com:FigureReference
figref/@idref	com:FigureReference/@com:idrefs
figref/@num	com:FigureReference/@com:referencedFigureNumber
figref/text()	com:FigureReference/text()
figref/b	com:FigureReference/com:B
figref/i	com:FigureReference/com:I
figref/u	com:FigureReference/com:U
figref/o	com:FigureReference/com:O
figref/sup	com:FigureReference/com:Sup
figref/sub	com:FigureReference/com:Sub
figref/smallcaps	com:FigureReference/com:SmallCapital
chemistry	com:ChemicalFormulae
chemistry/@id	com:ChemicalFormulae/@com:id
chemistry/@num	com:ChemicalFormulae/@com:chemicalFormulaeNumber
chemistry/img	com:ChemicalFormulae/com:Image
chemistry/chem	com:ChemicalFormulae/com:InlineFormula
title	com:TableTitle
title/text()	com:TableTitle/text()
title/b	com:TableTitle/com:B
title/i	com:TableTitle/com:I
title/u	com:TableTitle/com:U
title/sup	com:TableTitle/com:Sup
title/sub	com:TableTitle/com:Sub
title/smallcaps	com:TableTitle/com:SmallCapital
figure	pat:Figure
figure/@id	pat:Figure/@com:id
figure/@num	pat:Figure/pat:FigureNumber
figure/img	pat:Figure/com:Image
dt	com:DT
dt/@id	com:DT/@com:id
dt/text()	com:DT/text()
dt/b	com:DT/com:B
dt/i	com:DT/com:I
dt/u	com:DT/com:U
dt/o	com:DT/com:O
dt/sup	com:DT/com:Sub
dt/sub	com:DT/com:Sup
dt/smallcaps	com:DT/com:SmallCapital
depositary/address/address-1	com:BioDepositDepositary/com:PostalAddressBag/com:PostalAddress/com:PostalStructuredAddress/com:AddressLineText
depositary/address/address-1/text()	com:BioDepositDepositary/com:PostalAddressBag/com:PostalAddress/com:PostalStructuredAddress/com:AddressLineText
depositary/address/address-2	com:BioDepositDepositary/com:PostalAddressBag/com:PostalAddress/com:PostalStructuredAddress/com:AddressLineText (2)
depositary/address/address-2/text()	com:BioDepositDepositary/com:PostalAddressBag/com:PostalAddress/com:PostalStructuredAddress/com:AddressLineText (2)
depositary/address/address-3	com:BioDepositDepositary/com:PostalAddressBag/com:PostalAddress/com:PostalStructuredAddress/com:AddressLineText (3)
depositary/address/address-3/text()	com:BioDepositDepositary/com:PostalAddressBag/com:PostalAddress/com:PostalStructuredAddress/com:AddressLineText (3)
depositary/address/address-4	com:BioDepositDepositary/com:PostalAddressBag/com:PostalAddress/com:PostalStructuredAddress/com:AddressLineText (4)
depositary/address/address-4/text()	com:BioDepositDepositary/com:PostalAddressBag/com:PostalAddress/com:PostalStructuredAddress/com:AddressLineText (4)
depositary/address/address-5	com:BioDepositDepositary/com:PostalAddressBag/com:PostalAddress/com:PostalStructuredAddress/com:AddressLineText (5)
depositary/address/address-5/text()	com:BioDepositDepositary/com:PostalAddressBag/com:PostalAddress/com:PostalStructuredAddress/com:AddressLineText (5)
depositary/address/mailcode	com:BioDepositDepositary/com:PostalAddressBag/com:PostalAddress/com:PostalStructuredAddress/com:PostalCode (2)
depositary/address/pobox	com:BioDepositDepositary/com:PostalAddressBag/com:PostalAddress/com:PostalStructuredAddress/com:AddressLineText (7)
depositary/address/pobox/text()	com:BioDepositDepositary/com:PostalAddressBag/com:PostalAddress/com:PostalStructuredAddress/com:AddressLineText (7)
depositary/address/room	com:BioDepositDepositary/com:PostalAddressBag/com:PostalAddress/com:PostalStructuredAddress/com:AddressLineText (9)
depositary/address/room/text()	com:BioDepositDepositary/com:PostalAddressBag/com:PostalAddress/com:PostalStructuredAddress/com:AddressLineText (9)
depositary/address/address-floor	com:BioDepositDepositary/com:PostalAddressBag/com:PostalAddress/com:PostalStructuredAddress/com:AddressLineText (6)
depositary/address/address-floor/text()	com:BioDepositDepositary/com:PostalAddressBag/com:PostalAddress/com:PostalStructuredAddress/com:AddressLineText (6)
depositary/address/building	com:BioDepositDepositary/com:PostalAddressBag/com:PostalAddress/com:PostalStructuredAddress/com:AddressLineText (8)
depositary/address/building/text()	com:BioDepositDepositary/com:PostalAddressBag/com:PostalAddress/com:PostalStructuredAddress/com:AddressLineText (8)
depositary/address/street	com:BioDepositDepositary/com:PostalAddressBag/com:PostalAddress/com:PostalStructuredAddress/com:AddressLineText (10)
depositary/address/street/text()	com:BioDepositDepositary/com:PostalAddressBag/com:PostalAddress/com:PostalStructuredAddress/com:AddressLineText (10)
depositary/address/city	com:BioDepositDepositary/com:PostalAddressBag/com:PostalAddress/com:PostalStructuredAddress/com:CityName
depositary/address/county	com:BioDepositDepositary/com:PostalAddressBag/com:PostalAddress/com:PostalStructuredAddress/com:GeographicRegionName
depositary/address/county/text()	com:BioDepositDepositary/com:PostalAddressBag/com:PostalAddress/com:PostalStructuredAddress/com:GeographicRegionName
depositary/address/state	com:BioDepositDepositary/com:PostalAddressBag/com:PostalAddress/com:PostalStructuredAddress/com:GeographicRegionName (2)
depositary/address/state/text()	com:BioDepositDepositary/com:PostalAddressBag/com:PostalAddress/com:PostalStructuredAddress/com:GeographicRegionName (2)
depositary/address/postcode	com:BioDepositDepositary/com:PostalAddressBag/com:PostalAddress/com:PostalStructuredAddress/com:PostalCode
depositary/address/country	com:BioDepositDepositary/com:PostalAddressBag/com:PostalAddress/com:PostalStructuredAddress/com:CountryCode
depositary/address/text	com:BioDepositDepositary/com:ContactText
depositary/address/text/text()	com:BioDepositDepositary/com:ContactText/text()
img	com:Image
img/@id	com:Image/@com:id
img/@he	com:Image/com:HeightMeasure
img/@wi	com:Image/com:WidthMeasure
img/@file	com:Image/com:FileName
img/@alt	com:Image/com:Alt
img/@img-content	com:Image/@com:imageContentCategory
img/@img-format	com:Image/com:ImageFormatCategory
img/@orientation	com:Image/@com:orientationCategory
img/@inline	com:Image/@com:imageWrappingStyleCategory
tables	com:Table
tables/@id	com:Table/com:IPOASISTable/@com:id
tables/@num	com:Table/com:TableImage/@com:tableNumber
tables/img	com:Table/com:TableImage/com:ColourModeCategory
tables/table	com:Table/com:IPOASISTable
tables/table/@frame	com:Table/com:IPOASISTable/@tbl:frame
tables/table/@colsep	com:Table/com:IPOASISTable/@tbl:colsep
tables/table/@rowsep	com:Table/com:IPOASISTable/@tbl:rowsep
tables/table/@pgwide	com:Table/com:IPOASISTable/@com:pageWide
tables/table/title	com:Table/com:IPOASISTable/com:TableTitle
tables/table/tgroup	com:Table/com:IPOASISTable/com:TableGroup
tables/table/tgroup/@cols	com:Table/com:IPOASISTable/com:TableGroup/@tbl:cols
tables/table/tgroup/@colsep	com:Table/com:IPOASISTable/com:TableGroup/@tbl:colsep
tables/table/tgroup/@rowsep	com:Table/com:IPOASISTable/com:TableGroup/@tbl:rowsep
tables/table/tgroup/@align	com:Table/com:IPOASISTable/com:TableGroup/@tbl:align
tables/table/tgroup/colspec	com:Table/com:IPOASISTable/com:TableGroup/tbl:colspec
tables/table/tgroup/colspec/@colnum	com:Table/com:IPOASISTable/com:TableGroup/tbl:colspec/@tbl:colnum
tables/table/tgroup/colspec/@colname	com:Table/com:IPOASISTable/com:TableGroup/tbl:colspec/@tbl:colname
tables/table/tgroup/colspec/@colwidth	com:Table/com:IPOASISTable/com:TableGroup/tbl:colspec/@tbl:colwidth
tables/table/tgroup/colspec/@colsep	com:Table/com:IPOASISTable/com:TableGroup/tbl:colspec/@tbl:colsep
tables/table/tgroup/colspec/@rowsep	com:Table/com:IPOASISTable/com:TableGroup/tbl:colspec/@tbl:rowsep
tables/table/tgroup/colspec/@align	com:Table/com:IPOASISTable/com:TableGroup/tbl:colspec/@tbl:align
tables/table/tgroup/colspec/@char	com:Table/com:IPOASISTable/com:TableGroup/tbl:colspec/@tbl:char
tables/table/tgroup/colspec/@charoff	com:Table/com:IPOASISTable/com:TableGroup/tbl:colspec/@tbl:charoff
tables/table/tgroup/thead	com:Table/com:IPOASISTable/com:TableGroup/tbl:thead
tables/table/tgroup/thead/@valign	com:Table/com:IPOASISTable/com:TableGroup/tbl:thead/@tbl:valign
tables/table/tgroup/thead/row	com:Table/com:IPOASISTable/com:TableGroup/tbl:thead/tbl:row
tables/table/tgroup/thead/row/@rowsep	com:Table/com:IPOASISTable/com:TableGroup/tbl:thead/tbl:row/@tbl:rowsep
tables/table/tgroup/thead/row/@valign	com:Table/com:IPOASISTable/com:TableGroup/tbl:thead/tbl:row/@tbl:valign
tables/table/tgroup/tbody	com:Table/com:IPOASISTable/com:TableGroup/com:TableBody
tables/table/tgroup/tbody/@valign	com:Table/com:IPOASISTable/com:TableGroup/com:TableBody/@tbl:valign
tables/table/tgroup/tbody/row	com:Table/com:IPOASISTable/com:TableGroup/com:TableBody/com:Row
tables/table/tgroup/tbody/row/@rowsep	com:Table/com:IPOASISTable/com:TableGroup/com:TableBody/com:Row/@tbl:rowsep
tables/table/tgroup/tbody/row/@valign	com:Table/com:IPOASISTable/com:TableGroup/com:TableBody/com:Row/@tbl:valign
tables/table/tgroup/tbody/row/entry	com:Table/com:IPOASISTable/com:TableGroup/com:TableBody/com:Row/com:Entry
tables/table/tgroup/tbody/row/entry/@colname	com:Table/com:IPOASISTable/com:TableGroup/com:TableBody/com:Row/com:Entry/@tbl:colname
tables/table/tgroup/tbody/row/entry/@namest	com:Table/com:IPOASISTable/com:TableGroup/com:TableBody/com:Row/com:Entry/@tbl:namest
tables/table/tgroup/tbody/row/entry/@nameend	com:Table/com:IPOASISTable/com:TableGroup/com:TableBody/com:Row/com:Entry/@tbl:nameend
tables/table/tgroup/tbody/row/entry/@morerows	com:Table/com:IPOASISTable/com:TableGroup/com:TableBody/com:Row/com:Entry/@tbl:morerows
tables/table/tgroup/tbody/row/entry/@colsep	com:Table/com:IPOASISTable/com:TableGroup/com:TableBody/com:Row/com:Entry/@tbl:colsep
tables/table/tgroup/tbody/row/entry/@rowsep	com:Table/com:IPOASISTable/com:TableGroup/com:TableBody/com:Row/com:Entry/@tbl:rowsep
tables/table/tgroup/tbody/row/entry/@align	com:Table/com:IPOASISTable/com:TableGroup/com:TableBody/com:Row/com:Entry/@tbl:align
tables/table/tgroup/tbody/row/entry/@char	com:Table/com:IPOASISTable/com:TableGroup/com:TableBody/com:Row/com:Entry/@tbl:char
tables/table/tgroup/tbody/row/entry/@charoff	com:Table/com:IPOASISTable/com:TableGroup/com:TableBody/com:Row/com:Entry/@tbl:charoff
tables/table/tgroup/tbody/row/entry/@valign	com:Table/com:IPOASISTable/com:TableGroup/com:TableBody/com:Row/com:Entry/@tbl:valign
tables/table/tgroup/tbody/row/entry/text()	com:Table/com:IPOASISTable/com:TableGroup/com:TableBody/com:Row/com:Entry/text()
tables/table/tgroup/tbody/row/entry/b	com:Table/com:IPOASISTable/com:TableGroup/com:TableBody/com:Row/com:Entry/com:B
tables/table/tgroup/tbody/row/entry/i	com:Table/com:IPOASISTable/com:TableGroup/com:TableBody/com:Row/com:Entry/com:I
tables/table/tgroup/tbody/row/entry/u	com:Table/com:IPOASISTable/com:TableGroup/com:TableBody/com:Row/com:Entry/com:U
tables/table/tgroup/tbody/row/entry/sup	com:Table/com:IPOASISTable/com:TableGroup/com:TableBody/com:Row/com:Entry/com:Sup
tables/table/tgroup/tbody/row/entry/sub	com:Table/com:IPOASISTable/com:TableGroup/com:TableBody/com:Row/com:Entry/com:Sub
tables/table/tgroup/tbody/row/entry/smallcaps	com:Table/com:IPOASISTable/com:TableGroup/com:TableBody/com:Row/com:Entry/com:SmallCapital
tables/table/tgroup/tbody/row/entry/br	com:Table/com:IPOASISTable/com:TableGroup/com:TableBody/com:Row/com:Entry/com:Br
tables/table/tgroup/tbody/row/entry/patcit	com:Table/com:IPOASISTable/com:TableGroup/com:TableBody/com:Row/com:Entry/com:PatentCitation
tables/table/tgroup/tbody/row/entry/nplcit	com:Table/com:IPOASISTable/com:TableGroup/com:TableBody/com:Row/com:Entry/com:NPLCitation
tables/table/tgroup/tbody/row/entry/bio-deposit	com:Table/com:IPOASISTable/com:TableGroup/com:TableBody/com:Row/com:Entry/com:BioDeposit
tables/table/tgroup/tbody/row/entry/crossref	com:Table/com:IPOASISTable/com:TableGroup/com:TableBody/com:Row/com:Entry/com:CrossReference
tables/table/tgroup/tbody/row/entry/img	com:Table/com:IPOASISTable/com:TableGroup/com:TableBody/com:Row/com:Entry/com:Image
tables/table/tgroup/tbody/row/entry/dl	com:Table/com:IPOASISTable/com:TableGroup/com:TableBody/com:Row/com:Entry/com:DL
tables/table/tgroup/tbody/row/entry/ul	com:Table/com:IPOASISTable/com:TableGroup/com:TableBody/com:Row/com:Entry/com:UL
tables/table/tgroup/tbody/row/entry/ol	com:Table/com:IPOASISTable/com:TableGroup/com:TableBody/com:Row/com:Entry/com:OL
tables/table/tgroup/tbody/row/entry/chemistry	com:Table/com:IPOASISTable/com:TableGroup/com:TableBody/com:Row/com:Entry/com:ChemicalFormulae
tables/table/tgroup/tbody/row/entry/maths	com:Table/com:IPOASISTable/com:TableGroup/com:TableBody/com:Row/com:Entry/com:Math
p	com:P
p/@id	com:P/@com:id
p/@num	com:P/@com:pNumber
p/text()	com:P/text()
p/b	com:P/com:B
p/b/text()	com:P/com:B/text()
p/b/i	com:P/com:B/com:I
p/b/i/text()	com:P/com:B/com:I/text()
p/b/u	com:P/com:B/com:U
p/b/u/text()	com:P/com:B/com:U/text()
p/b/o	com:P/com:B/com:O
p/b/o/text()	com:P/com:B/com:O/text()
p/b/sup	com:P/com:B/com:Sup
p/b/sup/text()	com:P/com:B/com:Sup/text()
p/b/sub	com:P/com:B/com:Sub
p/b/sub/text()	com:P/com:B/com:Sub/text()
p/i	com:P/com:I
p/i/text()	com:P/com:I/text()
p/i/b	com:P/com:I/com:B
p/i/b/text()	com:P/com:I/com:B/text()
p/i/u	com:P/com:I/com:U
p/i/u/text()	com:P/com:I/com:U/text()
p/i/o	com:P/com:I/com:O
p/i/o/text()	com:P/com:I/com:O/text()
p/i/sup	com:P/com:I/com:Sup
p/i/sup/text()	com:P/com:I/com:Sup/text()
p/i/sub	com:P/com:I/com:Sub
p/i/sub/text()	com:P/com:I/com:Sub/text()
p/u	com:P/com:U
p/u/text()	com:P/com:U/text()
p/u/b	com:P/com:U/com:B
p/u/b/text()	com:P/com:U/com:B/text()
p/u/i	com:P/com:U/com:I
p/u/i/text()	com:P/com:U/com:I/text()
p/u/sup	com:P/com:U/com:Sup
p/u/sup/text()	com:P/com:U/com:Sup/text()
p/u/sub	com:P/com:U/com:Sub
p/u/sub/text()	com:P/com:U/com:Sub/text()
p/o	com:P/com:O
p/o/text()	com:P/com:O/text()
p/o/b	com:P/com:O/com:B
p/o/b/text()	com:P/com:O/com:B/text()
p/o/i	com:P/com:O/com:I
p/o/i/text()	com:P/com:O/com:I/text()
p/o/sup	com:P/com:O/com:Sup
p/o/sup/text()	com:P/com:O/com:Sup/text()
p/o/sub	com:P/com:O/com:Sub
p/o/sub/text()	com:P/com:O/com:Sub/text()
p/sup	com:P/com:Sup
p/sup/text()	com:P/com:Sup/text()
p/sup/b	com:P/com:Sup/com:B
p/sup/b/text()	com:P/com:Sup/com:B/text()
p/sup/u	com:P/com:Sup/com:U
p/sup/u/text()	com:P/com:Sup/com:U/text()
p/sup/i	com:P/com:Sup/com:I
p/sup/i/text()	com:P/com:Sup/com:I/text()
p/sup/o	com:P/com:Sup/com:O
p/sup/o/text()	com:P/com:Sup/com:O/text()
p/sup/sup2	com:P/com:Sup/com:Sup2
p/sup/sup2/text()	com:P/com:Sup/com:Sup2/text()
p/sup/sup2/b	com:P/com:Sup/com:Sup2/com:B
p/sup/sup2/b/text()	com:P/com:Sup/com:Sup2/com:B/text()
p/sup/sup2/u	com:P/com:Sup/com:Sup2/com:U
p/sup/sup2/u/text()	com:P/com:Sup/com:Sup2/com:U/text()
p/sup/sup2/i	com:P/com:Sup/com:Sup2/com:I
p/sup/sup2/i/text()	com:P/com:Sup/com:Sup2/com:I/text()
p/sup/sup2/o	com:P/com:Sup/com:Sup2/com:O
p/sup/sup2/o/text()	com:P/com:Sup/com:Sup2/com:O/text()
p/sup/sub2	com:P/com:Sup/com:Sub2
p/sup/sub2/text()	com:P/com:Sup/com:Sub2/text()
p/sup/sub2/b	com:P/com:Sup/com:Sub2/com:B
p/sup/sub2/b/text()	com:P/com:Sup/com:Sub2/com:B/text()
p/sup/sub2/u	com:P/com:Sup/com:Sub2/com:U
p/sup/sub2/u/text()	com:P/com:Sup/com:Sub2/com:U/text()
p/sup/sub2/i	com:P/com:Sup/com:Sub2/com:I
p/sup/sub2/i/text()	com:P/com:Sup/com:Sub2/com:I/text()
p/sup/sub2/o	com:P/com:Sup/com:Sub2/com:O
p/sup/sub2/o/text()	com:P/com:Sup/com:Sub2/com:O/text()
p/sub	com:P/com:Sub
p/sub/text()	com:P/com:Sub/text()
p/sub/b	com:P/com:Sub/com:B
p/sub/b/text()	com:P/com:Sub/com:B/text()
p/sub/u	com:P/com:Sub/com:U
p/sub/u/text()	com:P/com:Sub/com:U/text()
p/sub/i	com:P/com:Sub/com:I
p/sub/i/text()	com:P/com:Sub/com:I/text()
p/sub/o	com:P/com:Sub/com:O
p/sub/o/text()	com:P/com:Sub/com:O/text()
p/sub/sup2	com:P/com:Sub/com:Sup2
p/sub/sup2/text()	com:P/com:Sub/com:Sup2/text()
p/sub/sub2	com:P/com:Sub/com:Sub2
p/sub/sub2/text()	com:P/com:Sub/com:Sub2/text()
p/smallcaps	com:P/com:SmallCapital
p/smallcaps/text()	com:P/com:SmallCapital/text()
p/smallcaps/b	com:P/com:SmallCapital/com:B
p/smallcaps/b/text()	com:P/com:SmallCapital/com:B/text()
p/smallcaps/u	com:P/com:SmallCapital/com:U
p/smallcaps/u/text()	com:P/com:SmallCapital/com:U/text()
p/smallcaps/i	com:P/com:SmallCapital/com:I
p/smallcaps/i/text()	com:P/com:SmallCapital/com:I/text()
p/smallcaps/o	com:P/com:SmallCapital/com:O
p/smallcaps/o/text()	com:P/com:SmallCapital/com:O/text()
p/br	com:P/com:Br
p/pre	com:P/com:Pre
p/dl	com:P/com:DL
p/ul	com:P/com:UL
p/ol	com:P/com:OL
p/crossref	com:P/com:CrossReference
p/crossref/@idref	com:P/com:CrossReference
p/crossref/text()	com:P/com:CrossReference
p/crossref/b	com:P/com:CrossReference
p/crossref/b/text()	com:P/com:CrossReference
p/crossref/i	com:P/com:CrossReference
p/crossref/i/text()	com:P/com:CrossReference
p/crossref/u	com:P/com:CrossReference
p/crossref/u/text()	com:P/com:CrossReference
p/crossref/o	com:P/com:CrossReference
p/crossref/o/text()	com:P/com:CrossReference
p/crossref/sup	com:P/com:CrossReference
p/crossref/sup/text()	com:P/com:CrossReference
p/crossref/sub	com:P/com:CrossReference
p/crossref/sub/text()	com:P/com:CrossReference
p/crossref/smallcaps	com:P/com:CrossReference
p/crossref/smallcaps/text()	com:P/com:CrossReference
p/figref	com:P/com:FigureReference/com:SmallCapital/text()
p/figref/@idref	com:P/com:FigureReference/com:SmallCapital/text()
p/figref/@num	com:P/com:FigureReference/com:SmallCapital/text()
p/figref/text()	com:P/com:FigureReference/com:SmallCapital/text()
p/figref/b	com:P/com:FigureReference/com:SmallCapital/text()
p/figref/b/text()	com:P/com:FigureReference/com:SmallCapital/text()
p/figref/i	com:P/com:FigureReference/com:SmallCapital/text()
p/figref/i/text()	com:P/com:FigureReference/com:SmallCapital/text()
p/figref/u	com:P/com:FigureReference/com:SmallCapital/text()
p/figref/u/text()	com:P/com:FigureReference/com:SmallCapital/text()
p/figref/o	com:P/com:FigureReference/com:SmallCapital/text()
p/figref/o/text()	com:P/com:FigureReference/com:SmallCapital/text()
p/figref/sup	com:P/com:FigureReference/com:SmallCapital/text()
p/figref/sup/text()	com:P/com:FigureReference/com:SmallCapital/text()
p/figref/sub	com:P/com:FigureReference/com:SmallCapital/text()
p/figref/sub/text()	com:P/com:FigureReference/com:SmallCapital/text()
p/figref/smallcaps	com:P/com:FigureReference/com:SmallCapital/text()
p/figref/smallcaps/text()	com:P/com:FigureReference/com:SmallCapital/text()
p/patcit	com:P/com:PatentCitation
p/nplcit	com:P/com:NPLCitation
p/bio-deposit	com:P/com:BioDeposit
p/img	com:P/com:Image
p/chemistry	com:P/com:ChemicalFormulae
p/maths	com:P/com:Math
p/tables	com:P/com:Table
heading	com:Heading
heading/@level	com:Heading/@com:headingLevelCode
heading/@id	com:Heading/@com:id
heading/text()	com:Heading/text()
heading/b	com:Heading/com:B
heading/i	com:Heading/com:I
heading/u	com:Heading/com:U
heading/o	com:Heading/com:O
heading/sup	com:Heading/com:Sup
heading/sub	com:Heading/com:Sub
heading/smallcaps	com:Heading/com:SmallCapital
maths	com:Math
maths/@num	com:Math/@com:mathNumber
maths/img	com:Math/com:Image
address-1	com:AddressLineText
address-3	com:AddressLineText
address-4	com:AddressLineText
address-5	com:AddressLineText
address-floor	com:AddressLineText
building	com:AddressLineText
street	com:AddressLineText
state	com:GeographicRegionName
pobox	com:AddressLineText
room	com:AddressLineText
county	com:GeographicRegionName
address-2	com:AddressLineText
